ID Propiedad,Titulo,Zona,Precio USD,Tipo,Habitaciones,Estado Disponibilidad,Leads Interesados,Resumen AI Propiedad
P-001,Departamento moderno en Bermejo,Bermejo,$185000.00,Departamento,2,Disponible,,"Luminoso departamento de 2 ambientes en el corazón de Palermo, ideal para parejas o inversión."
P-002,Casa familiar con jardín en Chacras de Coria,Chacras de Coria - Luján de Cuyo,$420000.00,Casa,4,Reservado,,"Amplia casa de 4 dormitorios con jardín y parrilla, perfecta para familias."
P-003,Monoambiente a estrenar en Godoy Cruz,Godoy Cruz,$95000.00,Departamento,1,Disponible,,"Monoambiente moderno, excelente ubicación, ideal para estudiantes o renta temporaria."
P-004,PH reciclado en Ciudad de Mendoza,Capital,$210000.00,PH,3,Vendido,,"PH de 3 ambientes totalmente reciclado, patio interno y bajas expensas."
P-005,Dúplex con terraza en Calle Emilio Civit,Capital,$275000.00,Dúplex,3,Disponible,,"Dúplex de 3 ambientes con terraza privada y cochera, muy luminoso."
P-006,"Casa quinta en Corralitos, Maipú",Maipú,$350000.00,Casa Quinta,5,Disponible,,"Casa quinta con pileta, parque y quincho, ideal para descanso y eventos."
P-007,"Departamento con amenities cerca de la terminal de omnibus, Guaymallén",San José - Guaymallén,$520000.00,Departamento,2,Disponible,,"Departamento premium con amenities, seguridad 24hs y vista al río."
P-008,Loft industrial en Luján de Cuyo,Luján de Cuyo,$160000.00,Loft,1,Reservado,,"Loft estilo industrial, techos altos y excelente conectividad."
P-009,Casa en barrio cerrado Carrodilla,Carrodilla - Luján de Cuyo,$680000.00,Casa,5,Disponible,,"Casa moderna en barrio cerrado con seguridad, pileta y jardín."
P-010,"Departamento clásico en Barrio Ujenvi, Las Heras",Las Heras,$120000.00,Departamento,2,Disponible,,"Departamento clásico de 2 ambientes, excelente estado y ubicación céntrica."
P-011,"Triplex de lujo en Barrio Parque, Dalvian, Las Heras",Las Heras,$950000.00,Triplex,4,Disponible,,"Triplex de lujo con jardín propio, cochera doble y terminaciones premium."
P-012,"Casa antigua en Gutierrez, Maipú",Maipú,$310000.00,Casa,3,Vendido,,"Casa antigua reciclada, ambientes amplios y jardín arbolado."
P-013,Departamento con balcón en Barrio Unimev,Guaymallén,$145000.00,Departamento,2,Disponible,,"Departamento de 2 ambientes con balcón al frente, bajas expensas."
P-014,"PH con patio en Barrio Cortaderas, Godoy Cruz",Godoy Cruz,$175000.00,PH,2,Reservado,,"PH de 2 ambientes con patio propio, reciclado a nuevo."
P-015,"Casa moderna en Barrio Barracas, Guaymallén",Guaymallén,$430000.00,Casa,4,Disponible,,"Casa moderna en barrio privado, pileta, jardín y seguridad 24hs."
